Name	LabID	Label	Species	Subspecies	Haplogroup	Description	Age	Location	Reference
NC_020614.1		NC_020614.1 | Boselaphus tragocamelus	Boselaphus tragocamelus			Boselaphini			
NC_020788.1		NC_020788.1 | Tetracerus quadricornis	Tetracerus quadricornis			Boselaphini			
NC_020748.1	MBP15	NC_020748.1 | MBP15 | Tragelaphus angasii	Tragelaphus angasii						
NC_038064.1		NC_038064.1 | Tragelaphus buxtoni	Tragelaphus buxtoni						
NC_020749.1	SUN8	NC_020749.1 | SUN8 | Tragelaphus eurycerus	Tragelaphus eurycerus						
NC_020619.1		NC_020619.1 | Tragelaphus imberbis	Tragelaphus imberbis						
NC_020750.1	PHC13	NC_020750.1 | PHC13 | Tragelaphus oryx	Tragelaphus oryx						
NC_020751.1		NC_020751.1 | Tragelaphus scriptus	Tragelaphus scriptus						
NC_020620.1		NC_020620.1 | Tragelaphus spekii	Tragelaphus spekii						
NC_020752.1	PHC11	NC_020752.1 | PHC11 | Tragelaphus strepsiceros	Tragelaphus strepsiceros						
NC_020616.1		NC_020616.1 | Pseudoryx nghetinhensis	Pseudoryx nghetinhensis						
NC_020617.1		NC_020617.1 | Syncerus caffer	Syncerus caffer						
NC_057438.1		NC_057438.1 | Bubalus arnee	Bubalus arnee						
NC_049568.1		NC_049568.1 | Bubalus bubalis	Bubalus bubalis						
NC_006295.1		NC_006295.1 | Bubalus carabanensis	Bubalus carabanensis						
NC_020615.1		NC_020615.1 | Bubalus depressicornis	Bubalus depressicornis						
NC_060307.1		NC_060307.1 | Bubalus quarlesi	Bubalus quarlesi						
GU946976.1	B790	GU946976.1 | B790 | Bison bison (Clade 1A)	Bison bison		Clade 1A	American bison			10.1016/j.mito.2010.09.005
GU946977.1	B853	GU946977.1 | B853 | Bison bison (Clade 1A)	Bison bison		Clade 1A	American bison			10.1016/j.mito.2010.09.005
GU946978.1	B854	GU946978.1 | B854 | Bison bison (Clade 1A)	Bison bison		Clade 1A	American bison			10.1016/j.mito.2010.09.005
GU946981.1	B880	GU946981.1 | B880 | Bison bison (Clade 1A)	Bison bison		Clade 1A	American bison			10.1016/j.mito.2010.09.005
GU946983.1	B925	GU946983.1 | B925 | Bison bison (Clade 1A)	Bison bison		Clade 1A	American bison			10.1016/j.mito.2010.09.005
GU946984.1	B929	GU946984.1 | B929 | Bison bison (Clade 1A)	Bison bison		Clade 1A	American bison			10.1016/j.mito.2010.09.005
KX269120.1	AF027	KX269120.1 | AF027 | Bison priscus (Clade 1A) | Edmonton, Canada, ~0.3ky	Bison priscus		Clade 1A	Steppe bison	~0.3ky	Edmonton, Canada	10.1073/pnas.1620754114
NC_012346.1		NC_012346.1 | Bison bison (Clade 1A)	Bison bison		Clade 1A	American bison			
KX269121.1	AF028	KX269121.1 | AF028 | Bison priscus (Clade 1A) | Edmonton, Canada, ~13ky	Bison priscus		Clade 1A	Steppe bison	~13ky	Edmonton, Canada	10.1073/pnas.1620754114
GU946980.1	B877	GU946980.1 | B877 | Bison bison (Clade 1A)	Bison bison		Clade 1A	American bison			10.1016/j.mito.2010.09.005
KX269143.1	PH025	KX269143.1 | PH025 | Bison priscus (Clade 1A) | Edmonton, Canada, ~4.5ky	Bison priscus		Clade 1A	Steppe bison	~4.5ky	Edmonton, Canada	10.1073/pnas.1620754114
GU946979.1	B855	GU946979.1 | B855 | Bison bison (Clade 1A)	Bison bison		Clade 1A	American bison			10.1016/j.mito.2010.09.005
GU946982.1	B897	GU946982.1 | B897 | Bison bison (Clade 1A)	Bison bison		Clade 1A	American bison			10.1016/j.mito.2010.09.005
KX269117.1	AE033	KX269117.1 | AE033 | Bison priscus (Clade 1A) | Char Lake Cave, Canada, ~12ky	Bison priscus		Clade 1A	Steppe bison	~12ky	Char Lake Cave, Canada	10.1073/pnas.1620754114
KX269136.1	MS213	KX269136.1 | MS213 | Bison priscus | Old Crow, Canada, ~14ky	Bison priscus			Steppe bison	~14ky	Old Crow, Canada	10.1073/pnas.1620754114
KX269125.1	BL227	KX269125.1 | BL227 | Bison priscus | Inuvik, Canada, ~11ky	Bison priscus			Steppe bison	~11ky	Inuvik, Canada	10.1073/pnas.1620754114
KX269137.1	MS219	KX269137.1 | MS219 | Bison priscus | Old Crow, Canada, ~14ky	Bison priscus			Steppe bison	~14ky	Old Crow, Canada	10.1073/pnas.1620754114
KX269140.1	MS223	KX269140.1 | MS223 | Bison priscus | Old Crow, Canada, ~14ky	Bison priscus			Steppe bison	~14ky	Old Crow, Canada	10.1073/pnas.1620754114
KX269139.1	MS221	KX269139.1 | MS221 | Bison priscus | Old Crow, Canada, ~14.5ky	Bison priscus			Steppe bison	~14.5ky	Old Crow, Canada	10.1073/pnas.1620754114
KX269129.1	MS018	KX269129.1 | MS018 | Bison priscus | Klondike,Canada, ~30.5ky	Bison priscus			Steppe bison	~30.5ky	Klondike,Canada	10.1073/pnas.1620754114
KX592174.1	A3133	KX592174.1 | A3133 | Bison priscus | Yukon, Canada, ~26ky	Bison priscus			Steppe bison	~26ky	Yukon, Canada	10.1038/s41598-020-78040-8
MN049908.1	PH230/F4089	MN049908.1 | PH230/F4089 | Bison priscus | Chukotka, Russia	Bison priscus			Steppe bison		Chukotka, Russia	10.1134/S0044513419100143
KX269141.1	MS226/DC009	KX269141.1 | MS226/DC009 | Bison priscus | Old Crow, Canada	Bison priscus			Steppe bison		Old Crow, Canada	10.1073/pnas.1620754114
KX269122.1	B5493	KX269122.1 | B5493 | Bison latifrons | Colorado, USA	Bison latifrons			Steppe bison		Colorado, USA	10.1073/pnas.1620754114
