Name	Lab ID	Label	Species	Haplogroup	Location	Age	Description	Reference
KP129018.1		KP129018.1 | Urocyon littoralis	Urocyon littoralis				Island fox	
NC_026723.1		NC_026723.1 | Urocyon Cinereoargenteus	Urocyon cinereoargenteus				Gray fox	
MW257223.1		MW257223.1 | Otocyon megalotis	Otocyon megalotis				Bat-eared fox	
NC_013700.1		NC_013700.1 | Nyctereutes procyonoides	Nyctereutes procyonoides				Raccoon dog	
NC_070063.1		NC_070063.1 | Vulpes chama	Vulpes chama				Cape fox	
KJ603240.1		KJ603240.1 | Vulpes zerda	Vulpes zerda				Fennec fox 	
NC_023958.1		NC_023958.1 | Vulpes corsac	Vulpes corsac				Corsac fox	
NC_027935.1		NC_027935.1 | Vulpes ferrilata	Vulpes ferrilata				Tibetan fox	
NC_008434.1		NC_008434.1 | Vulpes vulpes	Vulpes vulpes				Red fox	
OQ274912.1		OQ274912.1 | Vulpes rueppellii	Vulpes rueppellii				Rupell’s fox	
NC_026529.1		NC_026529.1 | Vulpes lagopus	Vulpes lagopus				Arctic fox	
PV090785.1		PV090785.1 | Vulpes velox	Vulpes velox				Blanford’s fox	
PV090784.1		PV090784.1 | Vulpes macrotis	Vulpes macrotis				Kit fox	
MW257226.1		MW257226.1 | Speothos venaticus	Speothos venaticus				Bush dog	
MN181406.1		MN181406.1 | Lycalopex sp.	Lycalopex sp.					
KT448284.1		KT448284.1 | Lycalopex sechurae	Lycalopex sechurae				Sechuran fox	
NC_024172.1		NC_024172.1 | Chrysocyon brachyurus	Chrysocyon brachyurus				Maned wolf	
KT448280.1		KT448280.1 | Canis mesomelas	Canis mesomelas				Black-backed jackal	
KT448271.1		KT448271.1 | Canis adustus	Canis adustus				Side-striped jackal	
NC_028427.1		NC_028427.1 | Lycaon pictus	Lycaon pictus				African wild dog	
NC_013445.1		NC_013445.1 | Cuon alpinus	Cuon alpinus				Dhole	
NC_008093.1		NC_008093.1 | Canis latrans	Canis latrans				Coyote	
SC19.MCJ015		SC19.MCJ015 | Canis latrans | Paradise Hill, Yukon, Canada ~44ky	Canis latrans		Paradise Hill, Yukon, Canada	~44ky		https://doi.org/10.1038/s41586-022-04824-9
SC19.MCJ017		SC19.MCJ017 | Canis latrans | Hunker Creek, Yukon ~53ky	Canis latrans		Hunker Creek, Yukon	~53ky		https://doi.org/10.1038/s41586-022-04824-9
KT448274.1		KT448274.1 | Canis aureus	Canis aureus				Golden jackal 	
NC_027956.1		NC_027956.1 | Canis lupaster	Canis lupaster				African wolf	
MK937052.1		MK937052.1 | TU9 | Canis lupus | Aghitu-3, Armenia ~31 ky	Canis lupus 				Wolf	10.1111/mec.15329
KF661080.1		KF661080.1 | Canis lupus | Goyet, Belgium ~30 ky	Canis lupus 				Wolf	10.1126/science.1243650
KF661079.1		KF661079.1 | Canis lupus | Goyet, Belgium ~36 ky	Canis lupus 				Wolf	10.1126/science.1243650
JK2183		JK2183 | Canis lupus  | Hohle Fels, Germany ~32ky	Canis lupus 		Hohle Fels, Germany	~32ky		https://doi.org/10.1038/s41586-022-04824-9
JK2174		JK2174 | Canis lupus  | Hohle Fels, Germany ~31.5ky	Canis lupus 		Hohle Fels, Germany	~31.5ky		https://doi.org/10.1038/s41586-022-04824-9
AH574		AH574 | Canis lupus  | Aufhausener Höhle, Germany ~58ky	Canis lupus 		Aufhausener Höhle, Germany	~58ky		https://doi.org/10.1038/s41586-022-04824-9
AH577		AH577 | Canis lupus  | Aufhausener Höhle, Germany ~50ky	Canis lupus 		Aufhausener Höhle, Germany	~50ky		https://doi.org/10.1038/s41586-022-04824-9
KF661078.1		KF661078.1 | Canis lupus | Trou des Nutons, Belgium ~26 ky	Canis lupus 				Wolf	10.1126/science.1243650
AH575		AH575 | Canis lupus  | Aufhausener Höhle, Germany ~97ky	Canis lupus 		Aufhausener Höhle, Germany	~97ky		https://doi.org/10.1038/s41586-022-04824-9
JAL48		JAL48 | Canis lupus  | Goldstream, Alaska ~90ky	Canis lupus 		Goldstream, Alaska	~90ky		https://doi.org/10.1038/s41586-022-04824-9
CANIS-ALAS-024		CANIS-ALAS-024 | Canis lupus  | Lillian Creek, Alaska ~83ky	Canis lupus 		Lillian Creek, Alaska	~83ky		https://doi.org/10.1038/s41586-022-04824-9
KF661081.1		KF661081.1 | Canis lupus | Medvezya Cave, Russia ~18 ky	Canis lupus 				Wolf	10.1126/science.1243650
LOW008		LOW008 | Canis lupus  | Ullakhan-Sullar, Siberia, Russia ~70.5ky	Canis lupus 		Ullakhan-Sullar, Siberia, Russia	~70.5ky		https://doi.org/10.1038/s41586-022-04824-9
MK936995.1		MK936995.1 | CGG12 | Canis lupus | Kolyma, Russia ~50 ky	Canis lupus 				Wolf	10.1111/mec.15329
