Name	Label	LabID	Species	Haplogroup	Description	Age	Location	Reference
MG334267.1	MG334267 | E466 | Mammuthus primigenius (Clade 1, Eurasia) | Wrangel Island, Russia ~4ky	E466	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~4ky	Wrangel Island, Russia	
MG334277.1	MG334277 | L468 | Mammuthus primigenius (Clade 1, Eurasia) | Wrangel Island, Russia ~8.5ky	L468	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~8.5ky	Wrangel Island, Russia	
MG334264.1	MG334264 | E460 | Mammuthus primigenius (Clade 1, Eurasia) | Wrangel Island, Russia ~5ky	E460	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~5ky	Wrangel Island, Russia	
MF579946.1	MF579946 | JK2782 | Mammuthus primigenius (Clade 1, Eurasia) | Kesslerloch, Switzerland ~17ky	JK2782	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~17ky	Kesslerloch, Switzerland	
KX176790.1	KX176790 | SP2411 | Mammuthus primigenius (Clade 1, Eurasia) | Secrets Cave, Russia ~15ky	SP2411	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~15ky	Secrets Cave, Russia	
KX176786.1	KX176786 | SP2386 | Mammuthus primigenius (Clade 1, Eurasia) | Malta, Russia 	SP2386	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)		Malta, Russia	
KX176787.1	KX176787 | SP2387 | Mammuthus primigenius (Clade 1, Eurasia) | Malta, Russia 	SP2387	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)		Malta, Russia	
KX176754.1	KX176754 | SP1022 | Mammuthus primigenius (Clade 1, Eurasia) | Bykovsky Peninsula, Russia ~15ky	SP1022	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~15ky	Bykovsky Peninsula, Russia	
KX027523.1	KX027523 | SEP65 | Mammuthus primigenius (Clade 1, Eurasia) | Alaska, USA ~38ky	SEP65	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~38ky	Alaska, USA	
NC_007596.2	NC007596 | NC007596 | Mammuthus primigenius (Clade 1, Eurasia) | Yakutia, Russia 	NC007596	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)		Yakutia, Russia	
