Name	Label	LabID	Species	Haplogroup	Description	Age	Location	Reference
MG334269	MG334269 | E468 | Mammuthus primigenius (Clade 1, Eurasia) | Wrangel Island ~4ky	E468	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~4ky	Wrangel Island	
MG334268	MG334268 | E467 | Mammuthus primigenius (Clade 1, Eurasia) | Wrangel Island ~4ky	E467	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~4ky	Wrangel Island	
MG334265	MG334265 | E464 | Mammuthus primigenius (Clade 1, Eurasia) | Wrangel Island ~4ky	E464	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~4ky	Wrangel Island	
KX176760	KX176760 | SP2218 | Mammuthus primigenius (Clade 1, Eurasia) | Wrangel Island 	SP2218	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)		Wrangel Island	
MG334267	MG334267 | E466 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~4ky	E466	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~4ky	Wrangel Island	
KX176763	KX176763 | SP2223 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~8ky	SP2223	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~8ky	Wrangel Island	
KX176764	KX176764 | SP2225 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~7.5ky	SP2225	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~7.5ky	Wrangel Island	
KX176762	KX176762 | SP2222 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~4ky	SP2222	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~4ky	Wrangel Island	
KX176761	KX176761 | SP2220 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~8ky	SP2220	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~8ky	Wrangel Island	
MG334270	MG334270 | E469D | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~4ky	E469D	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~4ky	Wrangel Island	
MG334278	MG334278 | M17 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~8ky	M17	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~8ky	Wrangel Island	
MG334280	MG334280 | M26 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~7ky	M26	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~7ky	Wrangel Island	
MG334279	MG334279 | M23 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~7.5ky	M23	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~7.5ky	Wrangel Island	
MG334277	MG334277 | L468 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~8.5ky	L468	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~8.5ky	Wrangel Island	
MG334266	MG334266 | E465 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~5ky	E465	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~5ky	Wrangel Island	
MG334264	MG334264 | E460 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~5ky	E460	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~5ky	Wrangel Island	
MG334274	MG334274 | L386 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~7ky	L386	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~7ky	Wrangel Island	
MG334281	MG334281 | M28 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~6.5ky	M28	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~6.5ky	Wrangel Island	
MG334276	MG334276 | L459 | Mammuthus primigenius (Clade 1 (Eurasia)) | Wrangel Island ~7ky	L459	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~7ky	Wrangel Island	
PV138994	PV138994 | L287 | Mammuthus primigenius (Clade 1 (Eurasia)) | Bryansk Region, Yudinovo ~14ky	L287	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~14ky	Bryansk Region, Yudinovo	
