Name	Lab No	Label	Group	Species	Subspecies	Haplogroup	Description	Age	Location	Reference
OK512989.1	A5183	OK512989.1 | A5183 | Panthera spelaea (Clade 2) | Alaska, USA ~18ky	Pantherinae	Panthera spelaea		Clade 2		~18ky	Alaska, USA	10.1111/mec.16267
OK512990.1	A5186	OK512990.1 | A5186 | Panthera spelaea (Clade 2) | Alaska, USA ~12ky	Pantherinae	Panthera spelaea		Clade 2		~12ky	Alaska, USA	10.1111/mec.16267
OK512991.1	A5187	OK512991.1 | A5187 | Panthera spelaea (Clade 2) | Alaska, USA ~12ky	Pantherinae	Panthera spelaea		Clade 2		~12ky	Alaska, USA	10.1111/mec.16267
OK512992.1	A5191	OK512992.1 | A5191 | Panthera spelaea (Clade 2) | Alaska, USA ~16ky	Pantherinae	Panthera spelaea		Clade 2		~16ky	Alaska, USA	10.1111/mec.16267
OK512993.1	A5193	OK512993.1 | A5193 | Panthera spelaea (Clade 2) | Alaska, USA ~12ky	Pantherinae	Panthera spelaea		Clade 2		~12ky	Alaska, USA	10.1111/mec.16267
OK512994.1	A5195	OK512994.1 | A5195 | Panthera spelaea (Clade 2) | Alaska, USA ~16ky	Pantherinae	Panthera spelaea		Clade 2		~16ky	Alaska, USA	10.1111/mec.16267
OK512995.1	A5199	OK512995.1 | A5199 | Panthera spelaea (Clade 2) | Alaska, USA ~18ky	Pantherinae	Panthera spelaea		Clade 2		~18ky	Alaska, USA	10.1111/mec.16267
OK512996.1	A5216	OK512996.1 | A5216 | Panthera spelaea (Clade 2) | Lena River, Russia ~12.5ky	Pantherinae	Panthera spelaea		Clade 2		~12.5ky	Lena River, Russia	10.1111/mec.16267
OK512982.1	A179	OK512982.1 | A179 | Panthera spelaea (Clade 2) | Alaska, USA ~15ky	Pantherinae	Panthera spelaea		Clade 2		~15ky	Alaska, USA	10.1111/mec.16267
OK512986.1	A332	OK512986.1 | A332 | Panthera spelaea (Clade 2) | Alaska, USA ~15ky	Pantherinae	Panthera spelaea		Clade 2		~15ky	Alaska, USA	10.1111/mec.16267
OK512998.1	A5269	OK512998.1 | A5269 | Panthera spelaea (Clade 2) | Arga-Yurekh River, Russia ~12.5ky	Pantherinae	Panthera spelaea		Clade 2		~12.5ky	Arga-Yurekh River, Russia	10.1111/mec.16267
OK513000.1	A5272	OK513000.1 | A5272 | Panthera spelaea (Clade 2) | Alazeya River, Russia ~14ky	Pantherinae	Panthera spelaea		Clade 2		~14ky	Alazeya River, Russia	10.1111/mec.16267
OK513017.1	A5363	OK513017.1 | A5363 | Panthera spelaea (Clade 2) | Pymva Shor, Russia ~13ky	Pantherinae	Panthera spelaea		Clade 2		~13ky	Pymva Shor, Russia	10.1111/mec.16267
OK512999.1	A5271	OK512999.1 | A5271 | Panthera spelaea (Clade 2) | Beryozovka River, Russia ~28ky	Pantherinae	Panthera spelaea		Clade 2		~28ky	Beryozovka River, Russia	10.1111/mec.16267
OK512997.1	A5252	OK512997.1 | A5252 | Panthera spelaea (Clade 2) | Wierzchowska Gorna, Poland ~38.5ky	Pantherinae	Panthera spelaea		Clade 2		~38.5ky	Wierzchowska Gorna, Poland	10.1111/mec.16267
OK513006.1	A5279	OK513006.1 | A5279 | Panthera spelaea (Clade 2) | Duvannyy Yar, Russia ~29ky	Pantherinae	Panthera spelaea		Clade 2		~29ky	Duvannyy Yar, Russia	10.1111/mec.16267
