Name	LabID	Label	Species	Haplogroup	Description	Age	Location	Reference
NC_011579.1		Martes zibellina	Martes zibellina					
NC_021749.1		Martes martes	Martes martes					
NC_009678.1		Martes melampus	Martes melampus					
NC_020642.1		Martes americana	Martes americana					
NC_020643.1		Martes foina	Martes foina					
NC_012141.1		Martes flavigula	Martes flavigula					
NC_009685.1		Gulo gulo	Gulo gulo					
NC_046484.1		Aonyx capensis	Aonyx capensis					
NC_035814.1		Aonyx cinerea	Aonyx cinerea					
NC_020645.1	YP6001	Arctonyx collaris 	Arctonyx collaris 					
NC_009692.1		Enhydra lutris	Enhydra lutris					
NC_053973.1		Galictis vittata	Galictis vittata					
NC_046485.1		Hydrictis maculicollis	Hydrictis maculicollis					
NC_065092.1		Ictonyx libycus	Ictonyx libycus					
NC_053979.1		Ictonyx striatus	Ictonyx striatus					
NC_062277.1		Lutra lutra	Lutra lutra					
NC_035810.1		Lutra sumatrana	Lutra sumatrana					
NC_035811.1		Lutrogale perspicillata	Lutrogale perspicillata					
NC_009677.1		Meles anakuma	Meles anakuma					
NC_039173.1		Meles leucurus	Meles leucurus					
NC_011125.1		Meles meles	Meles meles					
NC_053981.1		Mellivora capensis	Mellivora capensis					
NC_020644.1	YP6128	Melogale moschata 	Melogale moschata 					
NC_021751.1		Mustela altaica	Mustela altaica					
NC_025516.1		Mustela erminea	Mustela erminea					
NC_028013.1		Mustela eversmannii	Mustela eversmannii					
NC_020640.1	ROM101452	Mustela frenata	Mustela frenata					
NC_034330.1	IT01	Mustela itatsi	Mustela itatsi					
NC_023210.1	YP6126	Mustela kathiah	Mustela kathiah					
NC_056132.1		Mustela lutreola	Mustela lutreola					
NC_024942.1		Mustela nigripes	Mustela nigripes					
NC_020639.1	YP1	Mustela nivalis	Mustela nivalis					
NC_020638.1	ROM117143	Mustela putorius	Mustela putorius					
NC_020637.1	YP6136	Mustela sibirica	Mustela sibirica					
NC_020641.1	ROM102488	Neovison vison	Neovison vison					
NC_020664.1	MP41	Martes pennanti	Martes pennanti					
NC_053975.1		Poecilogale albinucha	Poecilogale albinucha					
NC_020646.1	ROM111450	Taxidea taxus	Taxidea taxus					
NC_054246.1		Vormela peregusna	Vormela peregusna					
