Name	Label	LabID	Species	Haplogroup	Description	Age	Location	Reference
MZ736696.1		PWLS1	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736693.1		KNP1	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736697.1		PWLS2	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736699.1		ONP1	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
NC_001779.1		X97336	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736701.1		ONP3	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736695.1		KNP3	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736694.1		KNP2	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736698.1		MNP1	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736700.1		ONP2	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736703.1		DNP2	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736702.1		DNP1	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736704.1		VTR1	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736705.1		GNP1	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736706.1		GNP2	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736707.1		JNP1	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MZ736708.1		JNP2	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
MK909145.1		KB14498	Rhinoceros unicornis		Indian one-horned rhinoceros		India	
KY117574.1		RSO_46	Rhinoceros sondaicus		Javan rhinoceros		Java, Indonesia	
FJ905815.1		NHM-4139	Rhinoceros sondaicus		Javan rhinoceros	~100y	Java, Indonesia	
MK909146.1		JR26	Rhinoceros sondaicus		Javan rhinoceros		Java, Indonesia	
MK909142.1		JR27	Rhinoceros sondaicus		Javan rhinoceros		Java, Indonesia	
MK909149.1		JR734	Rhinoceros sondaicus		Javan rhinoceros		Java, Indonesia	
MK909148.1		JR3320	Rhinoceros sondaicus		Javan rhinoceros		Java, Indonesia	
MK909151.1		JR3851	Rhinoceros sondaicus		Javan rhinoceros		Java, Indonesia	
MF066641.1		KB6196	Dicerorhinus sumatrensis	sumatrensis	Sumatran rhinoceros		Malay Peninsula	
MF066643.1		KB6198	Dicerorhinus sumatrensis	sumatrensis	Sumatran rhinoceros		Malay Peninsula	
FJ905816.1		Suci	Dicerorhinus sumatrensis	sumatrensis	Sumatran rhinoceros		Cincinnatti Zoo, USA	
MF066640.1		OR4280	Dicerorhinus sumatrensis	sumatrensis	Sumatran rhinoceros		Sumatra, Indonesia	
MF066629.1		KB20219	Dicerorhinus sumatrensis	sumatrensis	Sumatran rhinoceros		Sumatra, Indonesia	
MF066634.1		OR1440	Dicerorhinus sumatrensis	sumatrensis	Sumatran rhinoceros		Sumatra, Indonesia	
