Name	Label	LabID	Species	Haplogroup	Description	Age	Location	Region	Reference
HQ439441.1			Equus caballus	A		modern	Akhal-Teke		
HQ439443.1			Equus caballus	A		modern	Altai		
HQ439445.1			Equus caballus	A		modern	Kladruber		
HQ439446.1			Equus caballus	A		modern	Appaloosa		
HQ439447.1			Equus caballus	A		modern	Arab		
HQ439450.1			Equus caballus	A		modern	Ardennais		
HQ439453.1			Equus caballus	A		modern	Barb		
HQ439451.1			Equus caballus	A		modern	Bashkir Curly		
HQ439454.1			Equus caballus	A		modern	Camargue		
HQ439455.1			Equus caballus	A		modern	Clydesdale		
HQ439456.1			Equus caballus	A		modern	German Sport Horse		
HQ439457.1			Equus caballus	A		modern	Hanoverian		
HQ439458.1			Equus caballus	A		modern	Holstein		
HQ439459.1			Equus caballus	A		modern	Oldenburg		
HQ439460.1			Equus caballus	A		modern	Westphalian		
HQ439461.1			Equus caballus	A		modern	German Riding		
HQ439466.1			Equus caballus	A		modern	Icelandic		
HQ439467.1			Equus caballus	A		modern	Yakut		
JN398380.1			Equus caballus 	A		modern	Middleast		
HQ439484.1			Equus przewalskii	A		modern			
PX123152.1		SCEN001	Equus sp.	A		300000	Schöningen	Germany	This study
PX123153.1		SCEN002	Equus sp.	A		300000	Schöningen	Germany	This study
MW846094.1		AV34	Equus sp.	A		inf	Indigirka riv	Yakutiya	Vershinina et al., 2021
MW846097.1		AV38	Equus sp.	A		inf	Maly Anyuy	Chukotka	Vershinina et al., 2021
MW846101.1		AV43	Equus sp.	A		inf	Indigirka riv	Yakutiya	Vershinina et al., 2021
MW846093.1		AV7	Equus sp.	A		47555	N/A	Taimyr	Vershinina et al., 2021
MW846095.1		AV36	Equus sp.	A		44293	Cherskiy	Yakutiya	Vershinina et al., 2021
KT757740.1		CGG10022	Equus sp.	A		42577	Taymyr	Russia	Orlando et al., 2013
MW846141.1		JK078	Equus sp.	A		40449	Kyttyk Peninsula	Chukotka	Vershinina et al., 2021
KT757750.1		JW29/MS297	Equus sp.	A		39306	New Siberian Islands	Russia	Orlando et al., 2013
KT757757.1		JW341/MS296	Equus sp.	A		38895	Ural Mountains 	Russia	Orlando et al., 2013
MW846096.1		AV37	Equus sp.	A		35710	Maly Anyuy	Chukotka	Vershinina et al., 2021
MW846091.1		AV5	Equus sp.	A		33809	Kiyeng-Kyuel' lake	Taimyr	Vershinina et al., 2021
KT757756.1		JW315/MS304	Equus sp.	A		32756	Ural Mountains 	Russia	Orlando et al., 2013
MW846124.1		AV154	Equus sp.	A		31912	Ural Mountains, Perm oblast	Russia 	Vershinina et al., 2021
KT757754.1		JW311/MS293	Equus sp.	A		31727	Ural Mountains 	Russia	Orlando et al., 2013
MW846092.1		AV6	Equus sp.	A		29349	N/A	Taimyr	Vershinina et al., 2021
KT757743.1		CGG10027	Equus sp.	A		28367	Taymyr	Russia	Orlando et al., 2013
KT757755.1		JW313/MS305	Equus sp.	A		28240	Ural Mountains 	Russia	Orlando et al., 2013
KT757744.1		CGG10032	Equus sp.	A		28175	Taymyr	Russia	Orlando et al., 2013
KT757742.1		CGG10026	Equus sp.	A		27257	Taymyr	Russia	Orlando et al., 2013
MW846100.1		AV42	Equus sp.	A		26418	Bolshaya Kuropatochya riv	Yakutiya	Vershinina et al., 2021
KT757748.1		JW27/MS301	Equus sp.	A		24163	New Siberian Islands	Russia	Orlando et al., 2013
KT757747.1		JW26/MS300	Equus sp.	A		20259	New Siberian Islands	Russia	Orlando et al., 2013
KT757758.1		JW342/MS294	Equus sp.	A		18473	Ural Mountains	Russia	Vershinina et al., 2021
KT757759.1		JW374/MS303	Equus sp.	A		16913	Ural Mountains	Russia 	Vershinina et al., 2021
KT757741.1		CGG10023	Equus sp.	A		16116	Taymyr	Russia 	Vershinina et al., 2021
MW846108.1		AV89	Equus sp.	A1		37526	Titaluk riv	Alaska North	Vershinina et al., 2021
MW846106.1		AV83	Equus sp.	A1		37187	Titaluk riv	Alaska North	Vershinina et al., 2021
MW846120.1		AV124	Equus sp.	A1		37013	Ikpikpuk riv	Alaska North	Vershinina et al., 2021
MW846111.1		AV105	Equus sp.	A1		35819	Lilian crk	Alaska Interior	Vershinina et al., 2021
MW846157.1		MS324	Equus sp.	A1		34949	Old Crow	Yukon	Vershinina et al., 2021
MW846109.1		AV90	Equus sp.	A1		34517	Ikpikpuk riv	Alaska North	Vershinina et al., 2021
MW846135.1		AV204	Equus sp.	A1		34116	Elephant Point	Alaska West	Vershinina et al., 2021
MW846105.1		AV81	Equus sp.	A1		33850	Ikpikpuk	Alaska North	Vershinina et al., 2021
MW846127.1		AV160	Equus sp.	A1		33715	Titaluk riv	Alaska North	Vershinina et al., 2021
MW846150.1		MOE117	Equus sp.	A1		31196	Ikpikpuk riv	Alaska North	Vershinina et al., 2021
MW846107.1		AV88	Equus sp.	A1		27232	Ikpikpuk	Alaska North	Vershinina et al., 2021
MW846126.1		AV159	Equus sp.	A1		25496	Titaluk riv	Alaska North	Vershinina et al., 2021
MW846104.1		AV80	Equus sp.	A1		24322	Titaluk riv	Alaska North	Vershinina et al., 2021
MW846117.1		AV118	Equus sp.	A1		24284	Sarichef I, Seward area	Alaska West	Vershinina et al., 2021
MW846129.1		AV185	Equus sp.	A1		21505	Selin crk	Alaska West	Vershinina et al., 2021
MW846116.1		AV114	Equus sp.	A1		20955	utica Mine	Alaska West	Vershinina et al., 2021
MW846151.1		MOE119	Equus sp.	A1		20370	Ikpikpuk	Alaska North	Vershinina et al., 2021
MW846114.1		AV109	Equus sp.	A1		19916	Fairbanks	Alaska Interior	Vershinina et al., 2021
MW846115.1		AV112	Equus sp.	A1		19445	Rainbow Mine	Alaska West	Vershinina et al., 2021
MW846131.1		AV190	Equus sp.	A1		18842	Selin crk	Alaska West	Vershinina et al., 2021
MW846125.1		AV157	Equus sp.	A1		17432	Inglutalik riv	Alaska West	Vershinina et al., 2021
MW846103.1		AV75	Equus sp.	A1		16171	Titaluk riv	Alaska North	Vershinina et al., 2021
MW846122.1		AV149	Equus sp.	A1		15941	Goldstream crk	Alaska Interior	Vershinina et al., 2021
MW846102.1		AV73	Equus sp.	A1		14802	Ikpikpuk riv	Alaska North	Vershinina et al., 2021
MW846118.1		AV121	Equus sp.	A1		13204	Teshepuk lake	Alaska North	Vershinina et al., 2021
MW846128.1		AV181	Equus sp.	A2		42907	Ikpikpuk riv	Alaska North	Vershinina et al., 2021
MW846119.1		AV122	Equus sp.	A2		38866	Kigalik riv	Alaska North	Vershinina et al., 2021
MW846112.1		AV106	Equus sp.	B		inf	cripple crk	Alaska Interior	Vershinina et al., 2021
MW846113.1		AV108	Equus sp.	B		inf	Fairbanks 	Alaska Interior	Vershinina et al., 2021
MW846123.1		AV151	Equus sp.	B		inf	Fairbanks	Alaska Interior	Vershinina et al., 2021
MW846132.1		AV191	Equus sp.	B		inf	Engineer crk	Alaska Interior	Vershinina et al., 2021
MW846153.1		MS309	Equus sp.	B		inf	Hunker_Creek	Klondike	Vershinina et al., 2021
MW846155.1		MS317	Equus sp.	B		inf	Thistle_Creek	Klondike	Vershinina et al., 2021
MW846160.1		MS356	Equus sp.	B		inf	Hunker_Creek 	Klondike	Vershinina et al., 2021
MW846161.1		MS365	Equus sp.	B		inf	Lucky_Lady	Klondike	Vershinina et al., 2021
MW846163.1		MS413	Equus sp.	B		inf	Quartz_Creek	Klondike	Vershinina et al., 2021
KT757763.1		TC21c	Equus sp.	B		ca. 560,000-780,000		North America, Thistle Creek	Orlando et al., 2013
MN187571.1			Equus sp.	B		21,105 ± 55 cal BP	New Siberian Islands	Russia	Nedoluzhko et al., 2020
MW846152.1		MS273	Equus sp.	B		43528	Quartz_Creek	Klondike	Vershinina et al., 2021
MW846164.1		MS440	Equus sp.	B		40878	Quartz_Creek	Klondike	Vershinina et al., 2021
MW846159.1		MS338	Equus sp.	B		39231	Green_Gulch	Klondike	Vershinina et al., 2021
KT168318.1		YG13316	Equus lambei	B		38138	Whitman Gulch	Klondike	Heintzman et al. 2017 
MW846130.1		AV189	Equus sp.	B		38044	Fairbanks	Alaska Interior	Vershinina et al., 2021
MW846154.1		MS313	Equus sp.	B		37621	Quartz_Creek	Klondike	Vershinina et al., 2021
MW846162.1		MS371	Equus sp.	B		35289	Eldorado	Klondike	Vershinina et al., 2021
MW846167.1		MS460	Equus sp.	B		33984	Irish_Gilch	Klondike	Vershinina et al., 2021
MW846134.1		AV196	Equus sp.	B		31755	Lost Chicken crk	Alaska Interior	Vershinina et al., 2021
MW846158.1		MS337-JK141	Equus lambei	B		30318	Eldorado Creek	Klondike	Vershinina et al., 2021
MW846166.1		MS456	Equus sp.	B		29012	Irish_Gilch	Klondike	Vershinina et al., 2021
MW846156.1		MS322	Equus sp.	B		28430	Old Crow	Yukon	Vershinina et al., 2021
MW846090.1		ABC9779_11850	Equus ferus	B		27947	Irish Gulch	Klondike	Vershinina et al., 2021
KT168322.1		YG32854	Equus lambei	B		25749	Hunker Creek	Klondike	Heintzman et al. 2017 
MW846145.1		JK275	Equus sp.	B		25356	Natural Trap Cave	Wyoming	Vershinina et al., 2021
MW846146.1		JK278	Equus sp.	B		25214	Natural Trap Cave	Wyoming	Vershinina et al., 2021
MW846143.1		JK273	Equus sp.	B		25160	Natural Trap Cave	Wyoming	Vershinina et al., 2021
MW846144.1		JK274	Equus sp.	B		24930	Natural Trap Cave	Wyoming	Vershinina et al., 2021
MW846110.1		AV103	Equus sp.	B		23628	Fairbanks	Alaska Interior	Vershinina et al., 2021
MW846133.1		AV193	Equus sp.	B		23350	Fairbanks	Alaska Interior	Vershinina et al., 2021
MW846165.1		MS451	Equus sp.	B		17473	Eldorado	Klondike	Vershinina et al., 2021
MW846142.1		JK162	Equus sp.	B		17324	Jaw Dropper Cave	Idaho	Vershinina et al., 2021
MW846121.1		AV125	Equus sp.	B		17248	Lost Chiken crk	Alaska Interior	Vershinina et al., 2021
MW846147.1		JW174_MS289	Equus sp.	B		13063	Grand Prairie, Lingrell Pit	Alberta	Vershinina et al., 2021
MW846136.1			Equus sp.	B		388	Idaho	United States	Vershinina et al., 2021
MW846098.1		AV39	Equus sp.	C		out of range	Indigirka riv	Yakutiya	Vershinina et al., 2021
MW846149.1		MOE081	Equus sp.	C		out of range	Sukhaya cave	Primorye	Vershinina et al., 2021
MW846099.1		AV40	Equus sp.	C		inf	Alazeya riv	Yakutiya	Vershinina et al., 2021
MW846148.1		MOE079	Equus sp.	C		49975	Sukhaya cave	Primorye	Vershinina et al., 2021
MW846140.1		AV241	Equus sp.	C		28330	Yushu, Jilin	China	Vershinina et al., 2021
MW846138.1		AV237	Equus sp.	C		25786	Yushu, Jilin	China	Vershinina et al., 2021
MW846139.1		AV238	Equus sp.	C		22471	Yushu, Jilin	China	Vershinina et al., 2021
MW846137.1		AV236	Equus sp.	C		15708	Yushu, Jilin	China	Vershinina et al., 2021
NC_018783.1			Equus ovodovi	outgroup		45000			Vilstrup et al., 2013
NC_020476.1			Equus zebra	outgroup		modern			Vilstrup et al., 2013
NC_001788.1			Equus asinus	outgroup		modern			Xu et al., 1996
