Name	Label	Species	Haplogroup	Reference
NC_012920.1	NC012920 | rCRS | H2	Modern Human	H	
AY195757.1	AY195757 | H	Modern Human	H	
AF346975.1	AF346975 | Dutch | H	Modern Human	H	
AF346981.1	AF346981 | French | H	Modern Human	H	
AF381997.1	AF381997 | Jordan | HV	Modern Human	HV	
AY195754.2	AY195754 | J1	Modern Human	J1	
AY195774.2	AY195774 | J	Modern Human	J1	
AY882389.1	AY882389 | Ethiopia | U9a	Modern Human	U9	
AY882390.1	AY882390 | Pakistan | U9b	Modern Human	U9	
AY882386.1	AY882386 | Spain | U4a	Modern Human	U4	
AY882388.1	AY882388 | Adygei | U4b	Modern Human	U4	
AY882391.2	AY882391 | Pakistan | U7	Modern Human	U7	
AY882380.1	AY882380 | Pakistan | U2b	Modern Human	U2	
AF382000.1	AF382000 | Jordan | U2d	Modern Human	U2	
AY882382.1	AY882382 | Italy | U2e	Modern Human	U2	
FN600416.1	FN600416 | Kostenki 14 | U2 | 25,000 yo	Modern Human	U2	
EU810403.1	EU810403 | Iceman | K1 | 4,500 yo	Modern Human	K1	
AY882392.1	AY882392 | Spain | U8a	Modern Human	U8	
AY882393.1	AY882393 | Italy | U8b	Modern Human	U8	
KC521459.1	KC521459 | Dolni Vestonice 13 | U8c | 28,000 yo	Modern Human	U8	
KC521455.1	KC521455 | Loschbour | U5b1 | 6,000 yo	Modern Human	U5	
AY882403.1	AY882403 | Saami | U5b1b	Modern Human	U5	
AY882412.1	AY882412 | Berber | U5b1d	Modern Human	U5	
KC521457.1	KC521457 | Oberkassel 998 | U5b1 | 14,000 yo	Modern Human	U5	
KC521458.1	KC521458 | Dolni Vestonice 14 | U5 | 28,000 yo	Modern Human	U5	
AY882416.1	AY882416 | Ethiopia | U6a	Modern Human	U6	
AF346973.1	AF346973 | China | F4a1b1	Modern Human	F	
AY963572.1	AY963572 | Cambodia | F1a1	Modern Human	F	
AY289094.1	AY289094 | Samoan | B4	Modern Human	B4	
AY289101.1	AY289101 | Thai | B4	Modern Human	B4	
KC521454.1	KC521454 | Boshan 11 | B4	Modern Human	B4	
KC417443.1	KC417443 | Tianyuan | B4 | 40,000 yo	Modern Human	B4	
BachoKiro_CC7_2289	BachoKiro CC7-2289 | R | 44,000 yo	Modern Human	R	10.1038/s41586-021-03335-3
16/116159199	16/116159199 | Ranis | R | 45,000 yo	Modern Human	R	10.5061/dryad.1jwstqk0s 
Ust_Ishim	PRJEB6622 | Ust Ishim | R | 45,000 yo	Modern Human	R	10.1038/nature13810
AY963586.3	AY963586 | Italy | I3a	Modern Human	I3	
AY195787.1	AY195787 | America | X	Modern Human	X2	
AY195773.1	AY195773 | Europe | X	Modern Human	X2	
AY289059.1	AY289059 | Australia | O	Modern Human	O	
AF381999.2	AF381999 | Jordan | N1b	Modern Human	N1	
AY195756.2	AY195756 | N1b	Modern Human	N1	
BachoKiro_BB7_240	BachoKiro BB7-240 | N | 44,000 yo	Modern Human	N	10.1038/s41586-021-03335-3
Zlaty_Kun	ERP122509 | Zlaty Kun | N | 43,000 yo	Modern Human	N	10.1038/s41559-021-01443-x
R10876	R10876 | Ranis | N | 45,000 yo	Modern Human	N	10.5061/dryad.1jwstqk0s 
Oase1	ERP010040 | Oase 1 | N | 38,000 yo	Modern Human	N	10.1038/nature14558
AY195759.2	AY195759 | America | C1	Modern Human	C1	
EU725621.2	EU725621 | Saqqaq | D2 | 4000 yo	Modern Human	D2	
AF347010.1	AF347010 | Inuit | D2a1b1	Modern Human	D2	
AY963573.2	AY963573 | China | D4b2b	Modern Human	D4	
AF346990.1	AF346990 | Japan | D4a1	Modern Human	D4	
AY195748.1	AY195748 | America | D	Modern Human	D1	
AY289082.1	AY289082 | Q1	Modern Human	Q1	
AY289085.1	AY289085 | Q1	Modern Human	Q1	
AF346966.1	AF346966 | India | G3b1	Modern Human	G3	
AY289097.1	AY289097 | M7	Modern Human	M7	
AY950293.2	AY950293 | Onge | M31	Modern Human	M31	
AY950300.2	AY950300 | Andaman | M31	Modern Human	M31	
DQ137410.1	DQ137410 | NG | M27a	Modern Human	M27	
DQ137411.1	DQ137411 | NG | M27a	Modern Human	M27	
AF381984.2	AF381984 | M1	Modern Human	M1	
