Name	Lab No	Label	Species	Subspecies	Haplogroup	Description	Age	Location	Reference
JN389444.1			Cervus nippon	kopschi				China	The complete mitochondrial genome of the Chinese Sika deer (Cervus nippon), and Phylogenetic analysis among Cervidae, Moschidae and Bovidae
NC_016178.1			Cervus nippon	kopschi				China	The complete mitochondrial genome of sika deer Cervus nippon (Cetartiodactyla: Cervinae) South Anhui population
NC_018595.1			Cervus nippon	sichuanicus				China	The complete mitochondrial genome of the Chinese Sika deer (Cervus nippon), and Phylogenetic analysis among Cervidae, Moschidae and Bovidae
EF058308.1			Cervus nippon	taiouanus				Taiwan	The complete sequence of mitochondrial genome of Cervus nippon taiouanus (Formosan sika deer)
NC_008462.1		NC_008462.1 | Cervus nippon taiouanus	Cervus nippon	taiouanus				Taiwan	
NC_013834.1		NC_013834.1 | Cervus nippon hortulorum	Cervus nippon	hortulorum				China	Molecular phylogeny of Cervus nippon and Cervus elaphus based on the complete sequence of mitochondrial genome
HQ191428.1			Cervus nippon	hortulorum				China	The complete sequence of mitochondrial genome of Cervus nippon hortulorum
KX689229.1			Cervus nippon	hortulorum				China	Characterization of the Complete Mitochondrial Genome Sequence of the Dong Feng Cervus nippon and Its Phylogenetic Analysis
KR868807.1			Cervus nippon	hortulorum				China	The complete mitochondrial genome sequence of northeastern sika deer Cervus Nippon hortulorum
NC_006973.1		NC_006973.1 | Cervus nippon yesoensis	Cervus nippon	yesoensis				Japan	The complete nucleotide sequence of mitochondrial genome in the Japanese Sika deer (Cervus nippon), and a phylogenetic analysis between Cervidae and Bovidae
NC_006993.1		NC_006993.1 | Cervus nippon centralis	Cervus nippon	centralis				Japan	The complete nucleotide sequence of mitochondrial genome in the Japanese Sika deer (Cervus nippon), and a phylogenetic analysis between Cervidae and Bovidae
NC_007179.1		NC_007179.1 | Cervus nippon yakushimae	Cervus nippon	yakushimae				Japan	The complete nucleotide sequence of mitochondrial genome in the Japanese Sika deer (Cervus nippon), and a phylogenetic analysis between Cervidae and Bovidae
OL679924.1	XAN1		Cervus canadensis	xanthopygus	Clade 1			Russia	https://www.nature.com/articles/s41598-022-20763-x
OL884451.1	CADG481		Cervus canadensis	xanthopygus	Clade 1		>43ky	China	https://www.sciencedirect.com/science/article/pii/S0277379122005558
OL884452.1	CADG531		Cervus canadensis	xanthopygus	Clade 1		17ky	China	https://www.sciencedirect.com/science/article/pii/S0277379122005558
OL884453.1	CADG542		Cervus canadensis	xanthopygus	Clade 1		15ky	China	https://www.sciencedirect.com/science/article/pii/S0277379122005558
OL884454.1	CADG831		Cervus canadensis	xanthopygus	Clade 1			China	https://www.sciencedirect.com/science/article/pii/S0277379122005558
NC_013836.1		NC_013836.1 | Cervus elaphus xanthopygus	Cervus canadensis	xanthopygus	Clade 1				
KJ025072.1			Cervus canadensis	songaricus	Clade 2				Complete mitochondrial genome of Cervus elaphus songaricus (Cetartiodactyla: Cervinae) and a phylogenetic analysis with related species
NC_014703.1		NC_014703.1 | Cervus canadensis songaricus	Cervus canadensis	songaricus	Clade 2				
OL884455.1	CADG64		Cervus canadensis	songaricus	Clade 2		>43ky	China	https://www.sciencedirect.com/science/article/pii/S0277379122005558
A50885_SP11521		A50885_SP11521 | Cervus canadensis | 47000 | Russia	Cervus canadensis	songaricus	Clade 2		~47ky	Russia	10.1038/s41586-023-06035-2
A50881_SP11516		A50881_SP11516 | Cervus canadensis | 2000 | Russia	Cervus canadensis	songaricus	Clade 2		~2ky	Russia	10.1038/s41586-023-06035-2
NC_039923.1		NC_039923.1 | Cervus canadensis kansuensis	Cervus canadensis	kansuensis	Clade 2				
KP172593.1		KP172593.1 | Cervus canadensis alashanicus	Cervus canadensis	alashanicus	Clade 3			China	
KU942399.1			Cervus canadensis	alashanicus	Clade 3			China	
OP764651.1	YC1		Cervus canadensis	alashanicus	Clade 3			China	https://www.sciencedirect.com/science/article/pii/S0277379122005558
MT784751.1	CADG522		Cervus canadensis	alashanicus	Clade 3		~4ky	China	
MT784752.1	CADG527		Cervus canadensis	alashanicus	Clade 3		~5ky	China	
